district,four_room,image,multiroom,name,one_room,room_types,studio,three_room,two_room
Ленинский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6357dfc37299b.jpg,-1,ЖК «Восточное Бутово»,5560000,"studio,one_room,two_room,three_room",4370000,8678000,7325000
Нагатино-Садовники,-1,https://st.novostroy.ru/regions/u/b/g/box_orig/635be2ad10bd7.jpg,-1,ЖК «Второй Нагатинский»,8777000,"studio,one_room,two_room,three_room",6227000,17011000,11976000
Хорошёвский,-1,https://st.novostroy.ru/regions/u/b/g/box_orig/6319cedc6b4c1.jpg,-1,Апарт-отель «Travelto Петровский парк»,7585000,"studio,one_room",5772000,-1,-1
Рязанский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5b3c9b2b73909.jpg,-1,ЖК «Кварталы 21/19»,11476000,"one_room,two_room,three_room",-1,12230000,9785000
Московский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/635a81a81a4eb.jpg,-1,ЖК «Саларьево парк»,7764000,"studio,one_room,two_room,three_room",5874000,14061000,7988000
Люберецкий,11199000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5fc0ce277546a.jpg,-1,ЖК «Люберцы 2020»,4042000,"studio,one_room,two_room,three_room,four_room",4486000,6721000,5125000
Москворечье-Сабурово,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/61cc1b3ddfdd4.jpg,-1,ЖК «Кавказский бульвар 51»,7973000,"studio,one_room,two_room,three_room",5606000,14204000,10681000
Лефортово,36329000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6214ab099581c.jpg,42595000,ЖК «Символ»,13115000,"studio,one_room,two_room,three_room,four_room,multiroom",9404000,25229000,18264000
Измайлово,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6360ceba6cc02.jpg,-1,ЖК «Амурский парк»,8039000,"studio,one_room,two_room,three_room",5808000,14279000,10860000
Московский,15978000,https://st.novostroy.ru/regions/u/b/g/box_orig/5988734802798.jpg,-1,ЖК «Испанские кварталы»,11182000,"studio,one_room,two_room,three_room,four_room",6987000,15425000,11964000
Дорогомилово,137250000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5f68c1fd57cab.jpg,-1,ЖК «Hide»,22626000,"studio,one_room,two_room,three_room,four_room",20324000,48895000,35486000
